HAT-P-34 b,13.417,1.53,0.6
HAT-P-35 b,14.93,1.44,0.383
HAT-P-36 b,14.314,1.04,0.022
HAT-P-37 b,13.204,0.88,-0.208
HAT-P-38 b,9.247,0.92,-0.208
HAT-P-39 b,17.609,1.62,0.607
HAT-P-4 b,14.28,1.62,0.431
HAT-P-40 b,17.038,1.94,0.778
HAT-P-41 b,22.978,2.05,0.628
HAT-P-42 b,14.348,1.53,0.356
HAT-P-43 b,13.63,1.08,0.06
HAT-P-44 b,13.922,0.95,-0.194
HAT-P-45 b,15.984,1.32,0.4
HAT-P-46 b,14.392,1.4,0.391
HAT-P-49 b,17.822,2.06,0.814
HAT-P-5 b,13.563,1.12,0.187
HAT-P-50 b,14.437,1.7,0.603
HAT-P-51 b,14.493,1.04,-0.066
HAT-P-52 b,11.31,0.89,-0.305
HAT-P-53 b,14.773,1.21,0.217
HAT-P-54 b,10.581,0.62,-0.902
HAT-P-55 b,13.249,1.01,0.064
HAT-P-56 b,16.926,1.47,0.553
HAT-P-57 b,19.504,1.85,0.806
HAT-P-58 b,14.93,1.53,0.456
HAT-P-59 b,12.588,1.1,0.054
HAT-P-6 b,16.589,1.62,0.553
HAT-P-60 b,18.282,2.2,0.809
HAT-P-61 b,10.077,0.94,-0.115
HAT-P-62 b,12.027,1.17,0.091
HAT-P-63 b,12.543,0.97,-0.146
HAT-P-64 b,19.089,1.74,0.668
HAT-P-65 b,21.185,1.86,0.555
HAT-P-66 b,17.822,1.88,0.615
HAT-P-67 b,23.371,2.55,0.939
HAT-P-68 b,12.016,0.67,-0.779
HAT-P-69 b,18.786,1.93,1
HAT-P-7 b,16.926,2,0.814
HAT-P-70 b,20.961,1.86,1.223
HAT-P-8 b,15.693,1.57,0.519
HAT-P-9 b,15.614,1.34,0.418
HATS-1 b,14.594,1.04,0.041
HATS-10 b,10.862,1.1,0.117
HATS-11 b,18.03,1.54,0.403
HATS-12 b,7.76,1.17,0.863
HATS-13 b,13.585,0.89,-0.321
HATS-14 b,11.646,0.93,-0.173
HATS-15 b,12.386,0.92,-0.204
HATS-16 b,14.572,1.24,0.173
HATS-17 b,8.709,1.09,0.093
HATS-18 b,14.897,1.02,-0.032
HATS-2 b,13.092,0.9,-0.268
HATS-22 b,10.682,0.69,-0.646
HATS-23 b,20.849,1.2,0.155
HATS-24 b,15.637,1.12,0.19
HATS-25 b,14.123,1.11,0.068
HATS-26 b,19.616,2.04,0.704
HATS-27 b,16.814,1.74,0.669
HATS-28 b,13.384,0.92,-0.157
HATS-29 b,14.022,1.07,0.029
HATS-3 b,15.48,1.4,0.456
HATS-30 b,13.171,1.06,0.097
HATS-31 b,18.383,1.87,0.619
HATS-32 b,14,1.1,0.057
HATS-33 b,13.787,1.02,-0.018
HATS-34 b,16.029,0.98,-0.14
HATS-35 b,16.41,1.43,0.465
HATS-36 b,12.92,1.1,0.215
HATS-37 A b,6.793,0.88,-0.256
HATS-38 b,6.882,1.1,0.072
HATS-39 b,17.598,1.62,0.64
HATS-4 b,11.433,0.93,-0.187
HATS-40 b,17.71,2.26,0.903
HATS-41 b,14.908,1.71,0.653
HATS-42 b,15.693,1.48,0.425
HATS-43 b,13.227,0.81,-0.398
HATS-44 b,11.96,0.85,-0.398
HATS-45 b,14.415,1.32,0.425
HATS-46 b,10.122,0.85,-0.23
HATS-47 b,12.52,0.66,-0.796
HATS-48 A b,8.967,0.72,-0.709
HATS-49 b,8.575,0.7,-0.785
HATS-5 b,10.223,0.87,-0.268
HATS-50 b,12.666,1.12,0.143
HATS-51 b,15.805,1.44,0.31
HATS-52 b,15.491,1.05,0.068
HATS-53 b,15.02,1.1,0.045
HATS-54 b,11.377,1.23,0.115
HATS-55 b,14.022,1.13,0.229
HATS-56 b,18.921,2.2,0.898
HATS-57 b,12.767,0.96,-0.094
HATS-58 A b,12.274,1.43,0.689
HATS-59 b,12.621,1.04,-0.004
HATS-6 b,11.187,0.57,-1.1
HATS-60 b,12.924,1.46,0.3
HATS-61 b,13.395,1.66,0.369
HATS-62 b,11.825,0.93,-0.173
HATS-63 b,13.529,1.07,0.012
HATS-64 b,18.82,2.11,0.867
HATS-65 b,16.825,1.31,0.377
HATS-66 b,15.816,1.84,0.767
HATS-67 b,18.887,1.44,0.547
HATS-68 b,13.809,1.75,0.592
HATS-69 b,10.593,0.88,-0.318
HATS-7 b,6.311,0.82,-0.434
HATS-70 b,15.513,1.88,1.079
HATS-71 b,11.478,0.48,-1.56
HATS-72 b,8.097,0.72,-0.659
HATS-74 A b,11.568,0.58,-1.216
HATS-75 b,9.909,0.58,-1.197
HATS-76 b,12.094,0.63,-1.038
HATS-77 b,13.058,0.64,-0.992
HATS-8 b,9.785,1.09,-0.025
HATS-9 b,13.85,1.56,0.312
HD 106315 b,2.44,1.3,0.35
HD 106315 c,4.35,1.3,0.395
HD 108236 b,1.615,0.88,-0.15
HD 108236 c,2.071,0.88,-0.15
HD 108236 d,2.539,0.88,-0.15
HD 108236 e,3.083,0.88,-0.15
HD 108236 f,2.017,0.88,-0.15
HD 109833 b,2.888,1,0.072
HD 109833 c,2.59,1,0.072
HD 110082 b,3.2,1.19,0.281
