HAT-P-65 b,21.185,1.86
HAT-P-66 b,17.822,1.88
HAT-P-67 b,23.371,2.55
HAT-P-68 b,12.016,0.67
HAT-P-69 b,18.786,1.93
HAT-P-7 b,16.926,2
HAT-P-70 b,20.961,1.86
HAT-P-8 b,15.693,1.57
HAT-P-9 b,15.614,1.34
HATS-1 b,14.594,1.04
HATS-10 b,10.862,1.1
HATS-11 b,18.03,1.54
HATS-12 b,7.76,1.17
HATS-13 b,13.585,0.89
HATS-14 b,11.646,0.93
HATS-15 b,12.386,0.92
HATS-16 b,14.572,1.24
HATS-17 b,8.709,1.09
HATS-18 b,14.897,1.02
HATS-2 b,13.092,0.9
HATS-22 b,10.682,0.69
HATS-23 b,20.849,1.2
HATS-24 b,15.637,1.12
HATS-25 b,14.123,1.11
HATS-26 b,19.616,2.04
HATS-27 b,16.814,1.74
HATS-28 b,13.384,0.92
HATS-29 b,14.022,1.07
HATS-3 b,15.48,1.4
HATS-30 b,13.171,1.06
HATS-31 b,18.383,1.87
HATS-32 b,14,1.1
HATS-33 b,13.787,1.02
HATS-34 b,16.029,0.98
HATS-35 b,16.41,1.43
HATS-36 b,12.92,1.1
HATS-37 A b,6.793,0.88
HATS-38 b,6.882,1.1
HATS-39 b,17.598,1.62
HATS-4 b,11.433,0.93
HATS-40 b,17.71,2.26
HATS-41 b,14.908,1.71
HATS-42 b,15.693,1.48
HATS-43 b,13.227,0.81
HATS-44 b,11.96,0.85
HATS-45 b,14.415,1.32
HATS-46 b,10.122,0.85
HATS-47 b,12.52,0.66
HATS-48 A b,8.967,0.72
HATS-49 b,8.575,0.7
HATS-5 b,10.223,0.87
HATS-50 b,12.666,1.12
HATS-51 b,15.805,1.44
HATS-52 b,15.491,1.05
HATS-53 b,15.02,1.1
HATS-54 b,11.377,1.23
HATS-55 b,14.022,1.13
HATS-56 b,18.921,2.2
HATS-57 b,12.767,0.96
HATS-58 A b,12.274,1.43
HATS-59 b,12.621,1.04
HATS-6 b,11.187,0.57
HATS-60 b,12.924,1.46
HATS-61 b,13.395,1.66
HATS-62 b,11.825,0.93
HATS-63 b,13.529,1.07
HATS-64 b,18.82,2.11
HATS-65 b,16.825,1.31
HATS-66 b,15.816,1.84
HATS-67 b,18.887,1.44
HATS-68 b,13.809,1.75
HATS-69 b,10.593,0.88
HATS-7 b,6.311,0.82
HATS-70 b,15.513,1.88
HATS-71 b,11.478,0.48
HATS-72 b,8.097,0.72
HATS-74 A b,11.568,0.58
HATS-75 b,9.909,0.58
HATS-76 b,12.094,0.63
HATS-77 b,13.058,0.64
HATS-8 b,9.785,1.09
HATS-9 b,13.85,1.56
HD 106315 b,2.44,1.3
HD 106315 c,4.35,1.3
HD 108236 b,1.615,0.88
HD 108236 c,2.071,0.88
HD 108236 d,2.539,0.88
HD 108236 e,3.083,0.88
HD 108236 f,2.017,0.88
HD 109833 b,2.888,1
HD 109833 c,2.59,1
HD 110082 b,3.2,1.19
HD 110113 b,2.05,0.97
HD 137496 b,1.31,1.59
HD 1397 b,11.5,2.34
HD 152843 b,3.41,1.43
HD 152843 c,5.83,1.43
HD 15337 b,1.64,0.86
HD 15337 c,2.39,0.86
HD 15906 b,2.24,0.76
HD 15906 c,2.93,0.76
HD 183579 b,3.55,0.99
HD 18599 b,2.6,0.77
HD 191939 b,3.41,0.94
HD 191939 c,3.195,0.94
HD 191939 d,2.995,0.94
HD 202772 A b,17.318,2.59
HD 20329 b,1.72,1.13
HD 207496 b,2.25,0.77
HD 207897 b,2.501,0.78
HD 213885 b,1.745,1.1
HD 21749 c,0.892,0.7
HD 219666 b,4.71,1.03
HD 221416 b,9.17,2.94
HD 22946 b,1.362,1.12
HD 22946 c,2.328,1.12
HD 22946 d,2.607,1.12
HD 23472 b,2,0.71
HD 23472 c,1.87,0.71
HD 23472 d,0.75,0.71
HD 23472 e,0.818,0.71
HD 23472 f,1.137,0.71
HD 260655 b,1.24,0.44
HD 260655 c,1.533,0.44
HD 2685 b,16.141,1.56
HD 28109 b,2.199,1.45
HD 28109 c,4.23,1.45
HD 28109 d,3.25,1.45
HD 307842 b,1.93,0.91
HD 3167 b,1.67,0.88
HD 3167 c,3,0.88
HD 332231 b,9.718,1.28
HD 5278 b,2.45,1.19
HD 56414 b,3.71,1.75
HD 63433 b,2.15,0.91
HD 63433 c,2.67,0.91
HD 63935 b,2.99,0.96
HD 73583 b,2.79,0.65
HD 73583 c,2.39,0.65
HD 80653 b,1.613,1.22
HD 86226 c,2.16,1.05
HD 89345 b,7.398,1.75
HD 93963 A b,1.35,1.04
HD 93963 A c,3.228,1.04
HIP 116454 b,2.53,0.72
HIP 41378 b,2.507,1.34
HIP 41378 c,2.56,1.34
HIP 41378 d,3.96,1.34
HIP 41378 e,5.51,1.34
HIP 41378 f,10.2,1.34
HIP 65 A b,22.754,0.72
HIP 67522 b,10.07,1.38
HIP 94235 b,3,1.08
HIP 9618 b,3.9,0.97
HIP 9618 c,3.343,0.97
HIP 97166 b,2.74,0.84
HR 858 b,2.085,1.31
HR 858 c,1.939,1.31
HR 858 d,2.164,1.31
K2-10 b,3.84,0.98
K2-100 b,3.88,1.24
K2-101 b,2,0.76
K2-102 b,1.3,0.71
K2-104 b,1.79,0.48
K2-105 b,3.59,0.97
K2-107 b,15.98,1.81
K2-108 b,5.33,1.76
K2-11 b,7.55,5.15
K2-110 b,2.592,0.71
K2-111 b,1.82,1.25
K2-113 b,12.14,1.24
K2-114 b,10.447,0.82
K2-115 b,12.06,0.88
K2-116 b,0.69,0.67
K2-117 b,2.03,0.51
K2-117 c,2.06,0.51
K2-118 b,2.54,0.73
K2-119 b,2.53,0.71
K2-12 b,2.44,1.12
K2-120 b,2.01,0.67
K2-121 b,7.52,0.67
K2-122 b,1.16,0.59
K2-123 b,2.76,0.59
K2-124 b,2.9,0.39
K2-125 b,2.18,0.4
K2-126 b,1.97,0.65
K2-127 b,8.37,0.66
K2-128 b,1.42,0.78
K2-129 b,1.04,0.36
K2-13 b,1.89,0.78
K2-130 b,1.25,0.74
K2-131 b,1.69,0.76
K2-132 b,14.572,3.85
K2-133 b,1.34,0.46
K2-133 c,1.603,0.46
K2-133 d,2.003,0.46
K2-133 e,1.73,0.46
K2-136 b,1.014,0.68
K2-136 c,3,0.68
K2-136 d,1.565,0.68
K2-137 b,0.64,0.29
K2-138 b,1.51,0.86
K2-138 c,2.299,0.86
K2-138 d,2.39,0.86
K2-138 e,3.39,0.86
